"Electrical and Electronics Installers and Repairers, Transportation Equipment",73920
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",64060
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",97230
"Electronic Equipment Installers and Repairers, Motor Vehicles",37850
Electronic Home Entertainment Equipment Installers and Repairers,45530
Security and Fire Alarm Systems Installers,51700
Aircraft Mechanics and Service Technicians,70750
Automotive Body and Related Repairers,51320
Automotive Glass Installers and Repairers,33420
Automotive Service Technicians and Mechanics,48720
Bus and Truck Mechanics and Diesel Engine Specialists,56830
Farm Equipment Mechanics and Service Technicians,47310
"Mobile Heavy Equipment Mechanics, Except Engines",65160
Rail Car Repairers,55320
Motorboat Mechanics and Service Technicians,45490
Motorcycle Mechanics,46460
Outdoor Power Equipment and Other Small Engine Mechanics,39390
Bicycle Repairers,34070
Recreational Vehicle Service Technicians,43700
Tire Repairers and Changers,33490
Mechanical Door Repairers,48650
"Control and Valve Installers and Repairers, Except Mechanical Door",65220
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",58130
Home Appliance Repairers,45660
Industrial Machinery Mechanics,59140
"Maintenance Workers, Machinery",55170
Millwrights,71350
Electrical Power-Line Installers and Repairers,92910
Telecommunications Line Installers and Repairers,66200
Camera and Photographic Equipment Repairers,43430
Medical Equipment Repairers,60790
Musical Instrument Repairers and Tuners,41720
Watch Repairers,49950
"Precision Instrument and Equipment Repairers, All Other",58760
"Maintenance and Repair Workers, General",45800
Wind Turbine Service Technicians,57770
"Coin, Vending, and Amusement Machine Servicers and Repairers",38490
Commercial Divers,70540
"Fabric Menders, Except Garment",30060
Locksmiths and Safe Repairers,50620
Riggers,57610
Signal and Track Switch Repairers,83960
"Helpers--Installation, Maintenance, and Repair Workers",33720
"Installation, Maintenance, and Repair Workers, All Other",46210
Production Occupations,40320
First-Line Supervisors of Production and Operating Workers,67800
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",49600
"Coil Winders, Tapers, and Finishers",32440
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",37940
Engine and Other Machine Assemblers,40860
Structural Metal Fabricators and Fitters,40270
Fiberglass Laminators and Fabricators,37450
"Assemblers and Fabricators, All Other, Including Team Assemblers",34530
Bakers,30710
Butchers and Meat Cutters,34450
"Meat, Poultry, and Fish Cutters and Trimmers",28360
Slaughterers and Meat Packers,27980
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",33920
Food Batchmakers,31090
Food Cooking Machine Operators and Tenders,30120
"Food Processing Workers, All Other",28430
"Computer-Controlled Machine Tool Operators, Metal and Plastic",42930
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",66560
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",34520
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",38450
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",43010
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",37430
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",39330
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",34580
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40280
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",42690
Machinists,47450
Metal-Refining Furnace Operators and Tenders,41250
"Pourers and Casters, Metal",35710
"Model Makers, Metal and Plastic",58710
"Patternmakers, Metal and Plastic",46870
Foundry Mold and Coremakers,36330
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",35730
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",37350
Tool and Die Makers,57190
"Welders, Cutters, Solderers, and Brazers",46560
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",40780
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",42390
"Layout Workers, Metal and Plastic",41790
"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",35570
"Tool Grinders, Filers, and Sharpeners",41060
"Metal Workers and Plastic Workers, All Other",43120
Prepress Technicians and Workers,42670
Printing Press Operators,39380
Print Binding and Finishing Workers,36190
Laundry and Dry-Cleaning Workers,28600
"Pressers, Textile, Garment, and Related Materials",26530
Sewing Machine Operators,26670
Shoe and Leather Workers and Repairers,32210
Shoe Machine Operators and Tenders,30580
"Sewers, Hand",29700
"Tailors, Dressmakers, and Custom Sewers",43200
Textile Bleaching and Dyeing Machine Operators and Tenders,28680
"Textile Cutting Machine Setters, Operators, and Tenders",31870
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",27150
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",36070
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",36650
Fabric and Apparel Patternmakers,54490
Upholsterers,37980
"Textile, Apparel, and Furnishings Workers, All Other",28730
Cabinetmakers and Bench Carpenters,37520
Furniture Finishers,36710
"Patternmakers, Wood",56990
"Sawing Machine Setters, Operators, and Tenders, Wood",32350
